Alerta_ID,Proyecto_ID,Componente,Tipo_Alerta,Fecha_Alerta,Downtime_Minutos,Minutos_Hasta_Resolucion,Asignado_A
ALT-00073,PRJ-007,Load Balancer,INFO,2026-02-07 22:27:00,0,0,SYSTEM_AUTO
ALT-00074,PRJ-008,Database,INFO,2026-02-04 21:47:00,0,0,SYSTEM_AUTO
ALT-00075,PRJ-001,Load Balancer,INFO,2026-02-27 10:49:00,0,0,SYSTEM_AUTO
ALT-00076,PRJ-007,Database,INFO,2026-04-04 13:48:00,0,0,SYSTEM_AUTO
ALT-00077,PRJ-002,Database,INFO,2026-02-07 14:49:00,0,0,SYSTEM_AUTO
ALT-00078,PRJ-009,Load Balancer,INFO,2026-01-02 06:09:00,0,0,SYSTEM_AUTO
ALT-00079,PRJ-001,Frontend UI,WARNING_SPIKE,2026-02-13 06:39:00,0,123,EMP-015
ALT-00080,PRJ-008,Load Balancer,INFO,2026-02-12 12:32:00,0,0,SYSTEM_AUTO
ALT-00081,PRJ-007,API Gateway,INFO,2026-04-04 17:52:00,0,0,SYSTEM_AUTO
ALT-00082,PRJ-007,Load Balancer,INFO,2026-03-02 13:26:00,0,0,SYSTEM_AUTO
ALT-00083,PRJ-003,Auth Service,INFO,2026-02-28 13:15:00,0,0,SYSTEM_AUTO
ALT-00084,PRJ-001,Auth Service,INFO,2026-04-06 10:21:00,0,0,SYSTEM_AUTO
ALT-00085,PRJ-008,Auth Service,INFO,2026-02-08 05:45:00,0,0,SYSTEM_AUTO
ALT-00086,PRJ-004,Auth Service,INFO,2026-02-18 11:08:00,0,0,SYSTEM_AUTO
ALT-00087,PRJ-004,Frontend UI,INFO,2026-01-05 02:48:00,0,0,SYSTEM_AUTO
ALT-00088,PRJ-008,Database,WARNING_SPIKE,2026-04-12 05:21:00,0,56,EMP-025
ALT-00089,PRJ-009,Auth Service,INFO,2026-04-28 14:30:00,0,0,SYSTEM_AUTO
ALT-00090,PRJ-010,Database,WARNING_SPIKE,2026-02-03 19:01:00,0,178,EMP-031
ALT-00091,PRJ-003,Load Balancer,INFO,2026-01-14 16:57:00,0,0,SYSTEM_AUTO
ALT-00092,PRJ-007,Auth Service,WARNING_SPIKE,2026-03-16 20:42:00,0,147,EMP-032
ALT-00093,PRJ-004,Frontend UI,INFO,2026-03-21 21:03:00,0,0,SYSTEM_AUTO
ALT-00094,PRJ-010,Frontend UI,INFO,2026-01-26 14:44:00,0,0,SYSTEM_AUTO
ALT-00095,PRJ-010,API Gateway,WARNING_SPIKE,2026-04-23 07:15:00,0,46,EMP-030
ALT-00096,PRJ-007,Auth Service,CRITICAL_DOWN,2026-04-13 09:05:00,41,63,EMP-034
ALT-00097,PRJ-003,Frontend UI,INFO,2026-02-28 00:35:00,0,0,SYSTEM_AUTO
ALT-00098,PRJ-010,Load Balancer,INFO,2026-01-03 09:58:00,0,0,SYSTEM_AUTO
ALT-00099,PRJ-006,Auth Service,WARNING_SPIKE,2026-01-29 09:26:00,0,123,EMP-040
ALT-00100,PRJ-005,API Gateway,INFO,2026-02-18 04:08:00,0,0,SYSTEM_AUTO
ALT-00101,PRJ-008,Database,WARNING_SPIKE,2026-04-25 06:19:00,0,122,EMP-021
ALT-00102,PRJ-008,Frontend UI,INFO,2026-03-05 10:43:00,0,0,SYSTEM_AUTO
ALT-00103,PRJ-009,Database,INFO,2026-04-09 06:38:00,0,0,SYSTEM_AUTO
ALT-00104,PRJ-002,Load Balancer,CRITICAL_DOWN,2026-01-29 06:01:00,14,20,EMP-030
ALT-00105,PRJ-006,API Gateway,INFO,2026-03-22 18:43:00,0,0,SYSTEM_AUTO
ALT-00106,PRJ-001,Auth Service,INFO,2026-04-21 22:22:00,0,0,SYSTEM_AUTO
ALT-00107,PRJ-008,Auth Service,INFO,2026-04-19 00:18:00,0,0,SYSTEM_AUTO
ALT-00108,PRJ-001,API Gateway,INFO,2026-01-25 22:24:00,0,0,SYSTEM_AUTO
ALT-00109,PRJ-008,API Gateway,INFO,2026-04-11 22:01:00,0,0,SYSTEM_AUTO
ALT-00110,PRJ-004,Load Balancer,INFO,2026-02-07 22:55:00,0,0,SYSTEM_AUTO
ALT-00111,PRJ-008,Load Balancer,INFO,2026-03-03 14:09:00,0,0,SYSTEM_AUTO
ALT-00112,PRJ-002,Load Balancer,INFO,2026-03-28 17:06:00,0,0,SYSTEM_AUTO
ALT-00113,PRJ-009,Auth Service,INFO,2026-03-26 17:02:00,0,0,SYSTEM_AUTO
ALT-00114,PRJ-010,Database,INFO,2026-03-14 16:31:00,0,0,SYSTEM_AUTO
ALT-00115,PRJ-006,Auth Service,INFO,2026-03-11 05:16:00,0,0,SYSTEM_AUTO
ALT-00116,PRJ-005,API Gateway,INFO,2026-04-17 05:00:00,0,0,SYSTEM_AUTO
ALT-00117,PRJ-010,Database,CRITICAL_DOWN,2026-01-13 06:56:00,5,12,EMP-005
ALT-00118,PRJ-008,Frontend UI,WARNING_SPIKE,2026-01-28 11:29:00,0,50,EMP-022
ALT-00119,PRJ-010,Frontend UI,INFO,2026-03-16 03:10:00,0,0,SYSTEM_AUTO
ALT-00120,PRJ-001,Load Balancer,INFO,2026-02-23 19:19:00,0,0,SYSTEM_AUTO
ALT-00121,PRJ-001,API Gateway,INFO,2026-02-20 19:14:00,0,0,SYSTEM_AUTO
ALT-00122,PRJ-004,API Gateway,INFO,2026-04-22 23:02:00,0,0,SYSTEM_AUTO
ALT-00123,PRJ-002,Database,INFO,2026-04-11 23:28:00,0,0,SYSTEM_AUTO
ALT-00124,PRJ-004,API Gateway,INFO,2026-04-21 05:39:00,0,0,SYSTEM_AUTO
ALT-00125,PRJ-003,Load Balancer,CRITICAL_DOWN,2026-01-15 11:50:00,107,112,EMP-002
ALT-00126,PRJ-003,Load Balancer,INFO,2026-01-10 12:36:00,0,0,SYSTEM_AUTO
ALT-00127,PRJ-007,Load Balancer,INFO,2026-03-02 21:05:00,0,0,SYSTEM_AUTO
ALT-00128,PRJ-001,API Gateway,INFO,2026-02-09 05:44:00,0,0,SYSTEM_AUTO
ALT-00129,PRJ-001,API Gateway,INFO,2026-04-12 22:49:00,0,0,SYSTEM_AUTO
ALT-00130,PRJ-004,Load Balancer,INFO,2026-02-07 10:07:00,0,0,SYSTEM_AUTO
ALT-00131,PRJ-006,API Gateway,CRITICAL_DOWN,2026-04-06 10:09:00,98,114,EMP-022
ALT-00132,PRJ-009,API Gateway,INFO,2026-02-05 03:57:00,0,0,SYSTEM_AUTO
ALT-00133,PRJ-005,Load Balancer,INFO,2026-02-07 11:38:00,0,0,SYSTEM_AUTO
ALT-00134,PRJ-009,Frontend UI,INFO,2026-04-04 18:35:00,0,0,SYSTEM_AUTO
ALT-00135,PRJ-003,Auth Service,WARNING_SPIKE,2026-03-11 05:40:00,0,179,EMP-019
ALT-00136,PRJ-001,API Gateway,INFO,2026-04-29 05:03:00,0,0,SYSTEM_AUTO
ALT-00137,PRJ-008,Load Balancer,WARNING_SPIKE,2026-02-14 11:38:00,0,125,EMP-015
ALT-00138,PRJ-005,Load Balancer,INFO,2026-04-06 14:54:00,0,0,SYSTEM_AUTO
ALT-00139,PRJ-006,Auth Service,INFO,2026-01-23 22:26:00,0,0,SYSTEM_AUTO
ALT-00140,PRJ-002,Auth Service,INFO,2026-02-11 03:28:00,0,0,SYSTEM_AUTO
ALT-00141,PRJ-007,Frontend UI,CRITICAL_DOWN,2026-03-16 21:41:00,37,49,EMP-013
ALT-00142,PRJ-007,Frontend UI,CRITICAL_DOWN,2026-03-19 11:25:00,69,79,EMP-025
ALT-00143,PRJ-001,Auth Service,INFO,2026-03-11 22:12:00,0,0,SYSTEM_AUTO
ALT-00144,PRJ-010,API Gateway,INFO,2026-02-25 07:19:00,0,0,SYSTEM_AUTO
ALT-00145,PRJ-007,Database,INFO,2026-01-02 10:23:00,0,0,SYSTEM_AUTO
ALT-00146,PRJ-003,Auth Service,INFO,2026-04-14 03:42:00,0,0,SYSTEM_AUTO
ALT-00147,PRJ-001,Database,INFO,2026-04-14 01:54:00,0,0,SYSTEM_AUTO
ALT-00148,PRJ-001,API Gateway,WARNING_SPIKE,2026-01-11 09:13:00,0,92,EMP-020
ALT-00149,PRJ-006,Database,WARNING_SPIKE,2026-04-07 18:30:00,0,32,EMP-029
ALT-00150,PRJ-008,API Gateway,CRITICAL_DOWN,2026-02-18 00:33:00,11,17,EMP-010
ALT-00151,PRJ-004,Frontend UI,INFO,2026-02-26 15:50:00,0,0,SYSTEM_AUTO
ALT-00152,PRJ-004,Database,WARNING_SPIKE,2026-02-13 14:52:00,0,148,EMP-013
ALT-00153,PRJ-003,API Gateway,INFO,2026-02-10 19:25:00,0,0,SYSTEM_AUTO
ALT-00154,PRJ-006,Database,INFO,2026-01-30 20:30:00,0,0,SYSTEM_AUTO
ALT-00155,PRJ-009,API Gateway,INFO,2026-04-24 13:21:00,0,0,SYSTEM_AUTO
ALT-00156,PRJ-010,Frontend UI,INFO,2026-01-10 15:23:00,0,0,SYSTEM_AUTO
ALT-00157,PRJ-009,Auth Service,INFO,2026-02-22 03:36:00,0,0,SYSTEM_AUTO
ALT-00158,PRJ-009,Frontend UI,INFO,2026-03-29 07:00:00,0,0,SYSTEM_AUTO
ALT-00159,PRJ-007,Load Balancer,CRITICAL_DOWN,2026-02-05 11:04:00,9,30,EMP-015
ALT-00160,PRJ-010,Load Balancer,INFO,2026-03-15 21:52:00,0,0,SYSTEM_AUTO
ALT-00161,PRJ-001,Load Balancer,INFO,2026-04-24 07:45:00,0,0,SYSTEM_AUTO
ALT-00162,PRJ-007,Database,CRITICAL_DOWN,2026-03-20 08:24:00,54,72,EMP-032
ALT-00163,PRJ-001,Frontend UI,CRITICAL_DOWN,2026-02-07 07:03:00,116,131,EMP-010
ALT-00164,PRJ-010,Database,CRITICAL_DOWN,2026-01-08 13:44:00,103,121,EMP-031
ALT-00165,PRJ-003,Load Balancer,INFO,2026-03-09 19:49:00,0,0,SYSTEM_AUTO
ALT-00166,PRJ-004,API Gateway,WARNING_SPIKE,2026-03-16 22:52:00,0,143,EMP-030
ALT-00167,PRJ-001,Load Balancer,INFO,2026-01-23 16:47:00,0,0,SYSTEM_AUTO
ALT-00168,PRJ-005,API Gateway,INFO,2026-01-17 06:14:00,0,0,SYSTEM_AUTO
ALT-00169,PRJ-003,Frontend UI,INFO,2026-03-04 20:52:00,0,0,SYSTEM_AUTO
ALT-00170,PRJ-005,Database,WARNING_SPIKE,2026-04-19 00:52:00,0,84,EMP-005
ALT-00171,PRJ-001,Auth Service,INFO,2026-04-14 11:42:00,0,0,SYSTEM_AUTO
ALT-00172,PRJ-006,Load Balancer,WARNING_SPIKE,2026-02-13 21:37:00,0,167,EMP-037
ALT-00173,PRJ-002,Database,WARNING_SPIKE,2026-04-03 13:44:00,0,176,EMP-010
ALT-00174,PRJ-005,API Gateway,INFO,2026-02-04 13:41:00,0,0,SYSTEM_AUTO
ALT-00175,PRJ-001,API Gateway,INFO,2026-01-25 02:15:00,0,0,SYSTEM_AUTO
ALT-00176,PRJ-003,Load Balancer,INFO,2026-03-30 22:15:00,0,0,SYSTEM_AUTO
ALT-00177,PRJ-009,Load Balancer,WARNING_SPIKE,2026-02-28 08:47:00,0,179,EMP-042
ALT-00178,PRJ-006,Load Balancer,CRITICAL_DOWN,2026-04-24 11:17:00,9,33,EMP-044
ALT-00179,PRJ-008,API Gateway,INFO,2026-03-06 04:30:00,0,0,SYSTEM_AUTO
ALT-00180,PRJ-007,Load Balancer,WARNING_SPIKE,2026-01-04 04:10:00,0,118,EMP-021
ALT-00181,PRJ-010,Frontend UI,INFO,2026-04-17 17:24:00,0,0,SYSTEM_AUTO
ALT-00182,PRJ-002,API Gateway,INFO,2026-04-13 04:45:00,0,0,SYSTEM_AUTO
ALT-00183,PRJ-003,Database,WARNING_SPIKE,2026-03-05 19:29:00,0,142,EMP-005
ALT-00184,PRJ-005,Frontend UI,INFO,2026-02-09 08:04:00,0,0,SYSTEM_AUTO
ALT-00185,PRJ-003,Auth Service,WARNING_SPIKE,2026-03-24 15:24:00,0,94,EMP-001
ALT-00186,PRJ-001,Load Balancer,INFO,2026-04-23 22:48:00,0,0,SYSTEM_AUTO
ALT-00187,PRJ-006,API Gateway,CRITICAL_DOWN,2026-03-05 19:39:00,119,132,EMP-040
ALT-00188,PRJ-001,Load Balancer,INFO,2026-03-21 23:29:00,0,0,SYSTEM_AUTO
ALT-00189,PRJ-002,Auth Service,WARNING_SPIKE,2026-04-21 04:00:00,0,118,EMP-040
ALT-00190,PRJ-006,Database,INFO,2026-02-05 17:54:00,0,0,SYSTEM_AUTO
ALT-00191,PRJ-003,Database,INFO,2026-01-10 12:38:00,0,0,SYSTEM_AUTO
ALT-00192,PRJ-008,Database,WARNING_SPIKE,2026-04-12 22:06:00,0,59,EMP-031
ALT-00193,PRJ-009,Auth Service,INFO,2026-02-07 18:44:00,0,0,SYSTEM_AUTO
ALT-00194,PRJ-006,Database,INFO,2026-01-03 18:26:00,0,0,SYSTEM_AUTO
ALT-00195,PRJ-007,Load Balancer,INFO,2026-04-01 14:33:00,0,0,SYSTEM_AUTO
ALT-00196,PRJ-006,Load Balancer,CRITICAL_DOWN,2026-02-05 04:55:00,9,38,EMP-022
ALT-00197,PRJ-002,API Gateway,INFO,2026-04-08 02:53:00,0,0,SYSTEM_AUTO
ALT-00198,PRJ-004,API Gateway,CRITICAL_DOWN,2026-04-25 13:26:00,118,143,EMP-001
ALT-00199,PRJ-007,Auth Service,WARNING_SPIKE,2026-03-30 06:49:00,0,88,EMP-022
ALT-00200,PRJ-006,Auth Service,INFO,2026-02-14 11:18:00,0,0,SYSTEM_AUTO
ALT-00201,PRJ-001,Database,WARNING_SPIKE,2026-02-27 21:33:00,0,30,EMP-001
ALT-00202,PRJ-009,Auth Service,WARNING_SPIKE,2026-02-15 06:00:00,0,87,EMP-025
ALT-00203,PRJ-010,Frontend UI,WARNING_SPIKE,2026-02-19 11:13:00,0,86,EMP-010
ALT-00204,PRJ-002,Load Balancer,INFO,2026-02-24 13:51:00,0,0,SYSTEM_AUTO
ALT-00205,PRJ-009,Auth Service,INFO,2026-02-25 18:59:00,0,0,SYSTEM_AUTO
ALT-00206,PRJ-006,Frontend UI,INFO,2026-04-29 22:25:00,0,0,SYSTEM_AUTO
ALT-00207,PRJ-001,Auth Service,INFO,2026-03-18 08:46:00,0,0,SYSTEM_AUTO
ALT-00208,PRJ-002,Auth Service,WARNING_SPIKE,2026-02-13 08:17:00,0,159,EMP-037
ALT-00209,PRJ-008,Load Balancer,INFO,2026-02-02 16:09:00,0,0,SYSTEM_AUTO
ALT-00210,PRJ-007,API Gateway,WARNING_SPIKE,2026-01-11 02:56:00,0,110,EMP-010
ALT-00211,PRJ-005,API Gateway,INFO,2026-02-04 05:30:00,0,0,SYSTEM_AUTO
ALT-00212,PRJ-009,Database,CRITICAL_DOWN,2026-03-21 19:50:00,118,136,EMP-005
ALT-00213,PRJ-001,Load Balancer,INFO,2026-04-03 07:52:00,0,0,SYSTEM_AUTO
ALT-00214,PRJ-002,Frontend UI,CRITICAL_DOWN,2026-03-19 17:14:00,46,68,EMP-044
ALT-00215,PRJ-004,API Gateway,INFO,2026-02-05 11:22:00,0,0,SYSTEM_AUTO
ALT-00216,PRJ-010,Frontend UI,INFO,2026-02-08 05:30:00,0,0,SYSTEM_AUTO
ALT-00217,PRJ-009,API Gateway,CRITICAL_DOWN,2026-03-08 12:02:00,113,123,EMP-040
ALT-00218,PRJ-002,Auth Service,INFO,2026-03-22 04:28:00,0,0,SYSTEM_AUTO
ALT-00219,PRJ-009,Auth Service,WARNING_SPIKE,2026-02-24 12:05:00,0,87,EMP-037
ALT-00220,PRJ-007,Database,WARNING_SPIKE,2026-03-19 15:33:00,0,35,EMP-032
ALT-00221,PRJ-005,Frontend UI,INFO,2026-02-27 23:44:00,0,0,SYSTEM_AUTO
ALT-00222,PRJ-009,Load Balancer,INFO,2026-02-06 04:04:00,0,0,SYSTEM_AUTO
ALT-00223,PRJ-006,Auth Service,INFO,2026-04-22 07:31:00,0,0,SYSTEM_AUTO
ALT-00224,PRJ-005,Load Balancer,INFO,2026-03-09 07:15:00,0,0,SYSTEM_AUTO
ALT-00225,PRJ-009,Frontend UI,INFO,2026-04-16 21:38:00,0,0,SYSTEM_AUTO
ALT-00226,PRJ-007,API Gateway,INFO,2026-02-14 01:11:00,0,0,SYSTEM_AUTO
ALT-00227,PRJ-002,Auth Service,INFO,2026-04-14 02:48:00,0,0,SYSTEM_AUTO
ALT-00228,PRJ-004,Database,INFO,2026-01-23 12:43:00,0,0,SYSTEM_AUTO
ALT-00229,PRJ-009,API Gateway,CRITICAL_DOWN,2026-04-27 04:52:00,34,58,EMP-015
ALT-00230,PRJ-001,API Gateway,WARNING_SPIKE,2026-04-12 09:19:00,0,144,EMP-005
ALT-00231,PRJ-010,Database,INFO,2026-01-21 18:32:00,0,0,SYSTEM_AUTO
ALT-00232,PRJ-002,Auth Service,WARNING_SPIKE,2026-04-27 11:01:00,0,141,EMP-040
ALT-00233,PRJ-005,Auth Service,WARNING_SPIKE,2026-01-26 20:43:00,0,179,EMP-010
ALT-00234,PRJ-002,Database,INFO,2026-03-22 11:11:00,0,0,SYSTEM_AUTO
ALT-00235,PRJ-007,Auth Service,WARNING_SPIKE,2026-03-17 07:07:00,0,90,EMP-010
ALT-00236,PRJ-002,Auth Service,INFO,2026-01-11 02:09:00,0,0,SYSTEM_AUTO
ALT-00237,PRJ-001,Database,WARNING_SPIKE,2026-01-22 17:43:00,0,20,EMP-040
ALT-00238,PRJ-001,API Gateway,INFO,2026-02-13 19:43:00,0,0,SYSTEM_AUTO
ALT-00239,PRJ-009,Database,INFO,2026-04-29 18:58:00,0,0,SYSTEM_AUTO
ALT-00240,PRJ-010,Frontend UI,INFO,2026-04-17 22:30:00,0,0,SYSTEM_AUTO
ALT-00241,PRJ-006,Frontend UI,WARNING_SPIKE,2026-02-19 05:57:00,0,23,EMP-021
ALT-00242,PRJ-010,Database,INFO,2026-02-27 23:50:00,0,0,SYSTEM_AUTO
ALT-00243,PRJ-001,Frontend UI,WARNING_SPIKE,2026-04-11 20:02:00,0,65,EMP-021
ALT-00244,PRJ-003,Frontend UI,INFO,2026-01-20 12:05:00,0,0,SYSTEM_AUTO
ALT-00245,PRJ-001,Frontend UI,INFO,2026-01-30 02:17:00,0,0,SYSTEM_AUTO
ALT-00246,PRJ-010,Frontend UI,WARNING_SPIKE,2026-01-21 11:48:00,0,15,EMP-025
ALT-00247,PRJ-007,Database,CRITICAL_DOWN,2026-02-08 10:26:00,97,119,EMP-019
ALT-00248,PRJ-002,Auth Service,WARNING_SPIKE,2026-01-28 13:52:00,0,81,EMP-034
ALT-00249,PRJ-003,API Gateway,WARNING_SPIKE,2026-03-09 21:17:00,0,36,EMP-022
ALT-00250,PRJ-007,Frontend UI,WARNING_SPIKE,2026-04-25 20:34:00,0,119,EMP-019
ALT-00251,PRJ-005,Load Balancer,WARNING_SPIKE,2026-04-04 14:33:00,0,62,EMP-019
ALT-00252,PRJ-007,API Gateway,INFO,2026-04-30 17:32:00,0,0,SYSTEM_AUTO
ALT-00253,PRJ-009,Frontend UI,INFO,2026-03-02 01:25:00,0,0,SYSTEM_AUTO
ALT-00254,PRJ-002,API Gateway,WARNING_SPIKE,2026-01-17 23:01:00,0,84,EMP-020
ALT-00255,PRJ-010,Database,INFO,2026-02-25 05:11:00,0,0,SYSTEM_AUTO
ALT-00256,PRJ-005,API Gateway,INFO,2026-02-10 18:28:00,0,0,SYSTEM_AUTO
ALT-00257,PRJ-010,Frontend UI,INFO,2026-01-20 12:24:00,0,0,SYSTEM_AUTO
ALT-00258,PRJ-004,API Gateway,INFO,2026-02-14 05:59:00,0,0,SYSTEM_AUTO
ALT-00259,PRJ-002,Frontend UI,INFO,2026-03-28 04:42:00,0,0,SYSTEM_AUTO
ALT-00260,PRJ-007,Database,INFO,2026-01-01 21:27:00,0,0,SYSTEM_AUTO
