Bug_ID,Proyecto_ID,Reporter_ID,Developer_ID,Entorno,Severidad,Fecha_Creacion,Tiempo_Resolucion_Minutos,Horas_Retrabajo
BUG-0020,PRJ-004,EMP-026,EMP-028,QA,HIGH,2026-03-27 13:00:00,172,3.17
BUG-0021,PRJ-004,EMP-048,EMP-028,QA,CRITICAL,2026-04-13 13:00:00,215,3.71
BUG-0022,PRJ-008,EMP-041,EMP-046,UAT,MEDIUM,2026-04-25 09:00:00,2751,30.17
BUG-0023,PRJ-009,EMP-049,EMP-046,UAT,MEDIUM,2026-02-15 12:00:00,928,12.07
BUG-0024,PRJ-004,EMP-014,EMP-046,QA,MEDIUM,2026-03-22 14:00:00,1216,20.26
BUG-0025,PRJ-007,EMP-027,EMP-028,QA,MEDIUM,2026-04-07 17:00:00,2167,28.19
BUG-0026,PRJ-007,EMP-024,EMP-006,UAT,LOW,2026-03-26 17:00:00,848,13.83
BUG-0027,PRJ-001,EMP-027,EMP-028,QA,LOW,2026-01-22 16:00:00,1046,19.78
BUG-0028,PRJ-005,EMP-039,EMP-028,QA,MEDIUM,2026-04-12 15:00:00,1715,15.83
BUG-0029,PRJ-010,EMP-011,EMP-047,QA,MEDIUM,2026-02-14 14:00:00,1945,34.98
BUG-0030,PRJ-006,EMP-011,EMP-038,QA,HIGH,2026-04-13 16:00:00,493,7.95
BUG-0031,PRJ-001,EMP-011,EMP-006,UAT,HIGH,2026-03-28 15:00:00,309,3.57
BUG-0032,PRJ-007,EMP-008,EMP-038,UAT,HIGH,2026-01-17 15:00:00,441,6.78
BUG-0033,PRJ-008,EMP-049,EMP-050,PRODUCTION,LOW,2026-04-14 10:00:00,2237,18.87
BUG-0034,PRJ-005,EMP-024,EMP-003,UAT,MEDIUM,2026-03-16 15:00:00,837,12.62
BUG-0035,PRJ-004,EMP-049,EMP-050,QA,CRITICAL,2026-03-24 14:00:00,206,1.92
BUG-0036,PRJ-003,EMP-024,EMP-003,QA,LOW,2026-01-06 10:00:00,509,5.35
BUG-0037,PRJ-008,EMP-027,EMP-050,QA,MEDIUM,2026-03-21 10:00:00,999,9.28
BUG-0038,PRJ-001,EMP-024,EMP-046,QA,HIGH,2026-02-01 11:00:00,141,1.34
BUG-0039,PRJ-006,EMP-041,EMP-050,QA,MEDIUM,2026-02-26 16:00:00,1933,24.82
BUG-0040,PRJ-009,EMP-027,EMP-050,QA,MEDIUM,2026-04-21 12:00:00,1818,30.82
BUG-0041,PRJ-004,EMP-048,EMP-028,QA,HIGH,2026-03-10 08:00:00,394,4.01
BUG-0042,PRJ-007,EMP-004,EMP-046,UAT,CRITICAL,2026-03-24 13:00:00,234,4.34
BUG-0043,PRJ-004,EMP-033,EMP-023,QA,HIGH,2026-02-21 09:00:00,346,3.15
BUG-0044,PRJ-007,EMP-026,EMP-046,UAT,HIGH,2026-01-31 13:00:00,621,11.12
BUG-0045,PRJ-008,EMP-011,EMP-050,QA,CRITICAL,2026-03-14 08:00:00,198,2.66
BUG-0046,PRJ-002,EMP-024,EMP-050,QA,HIGH,2026-04-09 13:00:00,664,6.07
BUG-0047,PRJ-003,EMP-008,EMP-047,QA,LOW,2026-02-26 13:00:00,2205,43.74
BUG-0048,PRJ-010,EMP-027,EMP-038,UAT,LOW,2026-02-12 17:00:00,808,11.56
BUG-0049,PRJ-003,EMP-004,EMP-047,QA,LOW,2026-02-14 15:00:00,1836,27.77
BUG-0050,PRJ-009,EMP-026,EMP-006,QA,LOW,2026-04-22 09:00:00,1106,15.73
BUG-0051,PRJ-004,EMP-011,EMP-050,QA,LOW,2026-02-06 13:00:00,1574,14.29
BUG-0052,PRJ-004,EMP-033,EMP-028,QA,HIGH,2026-04-29 10:00:00,630,8.28
BUG-0053,PRJ-002,EMP-016,EMP-003,QA,MEDIUM,2026-04-21 11:00:00,2633,31.82
BUG-0054,PRJ-007,EMP-026,EMP-047,QA,MEDIUM,2026-01-16 12:00:00,2013,33.06
BUG-0055,PRJ-004,EMP-048,EMP-006,UAT,MEDIUM,2026-01-30 17:00:00,577,10.88
BUG-0056,PRJ-005,EMP-026,EMP-028,UAT,LOW,2026-01-24 15:00:00,1793,30.0
BUG-0057,PRJ-003,EMP-008,EMP-023,QA,HIGH,2026-04-26 15:00:00,460,6.39
BUG-0058,PRJ-008,EMP-039,EMP-038,QA,MEDIUM,2026-04-04 10:00:00,1306,24.2
BUG-0059,PRJ-005,EMP-041,EMP-047,UAT,CRITICAL,2026-03-01 08:00:00,87,0.93
BUG-0060,PRJ-008,EMP-027,EMP-047,QA,HIGH,2026-03-02 11:00:00,629,11.44
BUG-0061,PRJ-008,EMP-049,EMP-028,PRODUCTION,LOW,2026-04-30 08:00:00,2319,34.11
BUG-0062,PRJ-005,EMP-039,EMP-006,PRODUCTION,LOW,2026-03-24 09:00:00,1140,13.6
BUG-0063,PRJ-008,EMP-039,EMP-003,QA,MEDIUM,2026-01-05 12:00:00,2879,55.93
BUG-0064,PRJ-009,EMP-014,EMP-023,UAT,LOW,2026-04-06 13:00:00,1299,11.94
BUG-0065,PRJ-004,EMP-004,EMP-006,PRODUCTION,HIGH,2026-02-26 11:00:00,173,2.96
BUG-0066,PRJ-005,EMP-024,EMP-023,QA,MEDIUM,2026-03-11 17:00:00,1683,25.28
BUG-0067,PRJ-009,EMP-016,EMP-047,QA,MEDIUM,2026-03-04 10:00:00,2261,34.96
BUG-0068,PRJ-004,EMP-011,EMP-038,QA,HIGH,2026-04-15 11:00:00,651,10.12
BUG-0069,PRJ-009,EMP-026,EMP-047,QA,HIGH,2026-02-18 16:00:00,286,3.71
BUG-0070,PRJ-004,EMP-016,EMP-028,QA,MEDIUM,2026-04-12 12:00:00,526,9.83
BUG-0071,PRJ-010,EMP-004,EMP-050,UAT,LOW,2026-02-17 17:00:00,557,7.48
BUG-0072,PRJ-007,EMP-014,EMP-046,QA,CRITICAL,2026-02-04 15:00:00,65,0.67
BUG-0073,PRJ-002,EMP-027,EMP-028,QA,MEDIUM,2026-02-03 15:00:00,709,8.35
BUG-0074,PRJ-004,EMP-026,EMP-038,QA,CRITICAL,2026-03-24 11:00:00,62,1.07
BUG-0075,PRJ-005,EMP-039,EMP-050,UAT,MEDIUM,2026-04-17 08:00:00,2800,55.97
BUG-0076,PRJ-008,EMP-016,EMP-046,UAT,MEDIUM,2026-02-21 15:00:00,1624,15.07
BUG-0077,PRJ-004,EMP-004,EMP-038,QA,CRITICAL,2026-02-08 14:00:00,143,2.0
BUG-0078,PRJ-010,EMP-041,EMP-023,PRODUCTION,MEDIUM,2026-01-27 13:00:00,2476,28.98
BUG-0079,PRJ-009,EMP-026,EMP-023,QA,CRITICAL,2026-01-16 16:00:00,55,1.01
BUG-0080,PRJ-006,EMP-039,EMP-046,QA,LOW,2026-04-24 15:00:00,1915,16.43
BUG-0081,PRJ-010,EMP-024,EMP-050,QA,HIGH,2026-01-07 10:00:00,706,7.81
BUG-0082,PRJ-003,EMP-014,EMP-028,QA,HIGH,2026-01-22 15:00:00,323,6.39
BUG-0083,PRJ-008,EMP-048,EMP-047,QA,MEDIUM,2026-01-05 12:00:00,1718,27.95
BUG-0084,PRJ-005,EMP-014,EMP-006,UAT,MEDIUM,2026-02-15 16:00:00,848,10.77
BUG-0085,PRJ-004,EMP-033,EMP-003,PRODUCTION,LOW,2026-01-15 10:00:00,2127,18.94
BUG-0086,PRJ-006,EMP-008,EMP-047,UAT,CRITICAL,2026-01-12 14:00:00,217,2.73
BUG-0087,PRJ-009,EMP-039,EMP-023,PRODUCTION,MEDIUM,2026-04-16 09:00:00,1459,19.81
BUG-0088,PRJ-001,EMP-033,EMP-046,QA,MEDIUM,2026-04-20 13:00:00,1760,19.94
BUG-0089,PRJ-004,EMP-048,EMP-038,UAT,LOW,2026-02-02 15:00:00,569,4.79
BUG-0090,PRJ-002,EMP-033,EMP-047,PRODUCTION,HIGH,2026-02-01 15:00:00,528,6.63
BUG-0091,PRJ-008,EMP-041,EMP-003,UAT,CRITICAL,2026-01-22 10:00:00,159,2.64
BUG-0092,PRJ-004,EMP-004,EMP-047,QA,CRITICAL,2026-03-11 17:00:00,211,3.02
BUG-0093,PRJ-006,EMP-039,EMP-050,QA,MEDIUM,2026-04-19 14:00:00,1824,31.77
BUG-0094,PRJ-010,EMP-039,EMP-050,QA,HIGH,2026-04-12 12:00:00,557,6.81
BUG-0095,PRJ-009,EMP-048,EMP-038,QA,MEDIUM,2026-02-05 16:00:00,565,5.41
BUG-0096,PRJ-004,EMP-004,EMP-006,QA,MEDIUM,2026-01-09 17:00:00,1793,33.09
BUG-0097,PRJ-004,EMP-048,EMP-046,QA,MEDIUM,2026-02-18 08:00:00,1951,26.03
BUG-0098,PRJ-001,EMP-024,EMP-006,PRODUCTION,MEDIUM,2026-03-22 12:00:00,617,5.81
BUG-0099,PRJ-003,EMP-033,EMP-023,PRODUCTION,MEDIUM,2026-02-09 13:00:00,2173,32.15
BUG-0100,PRJ-010,EMP-033,EMP-006,UAT,MEDIUM,2026-02-24 14:00:00,1875,29.53
BUG-0101,PRJ-002,EMP-049,EMP-003,QA,MEDIUM,2026-02-02 13:00:00,2852,30.87
BUG-0102,PRJ-009,EMP-048,EMP-047,QA,MEDIUM,2026-02-08 08:00:00,2518,44.62
BUG-0103,PRJ-003,EMP-039,EMP-038,UAT,CRITICAL,2026-03-23 12:00:00,44,0.79
BUG-0104,PRJ-010,EMP-004,EMP-003,QA,HIGH,2026-04-15 08:00:00,455,7.96
BUG-0105,PRJ-003,EMP-033,EMP-028,PRODUCTION,HIGH,2026-04-11 10:00:00,700,8.16
BUG-0106,PRJ-007,EMP-008,EMP-023,QA,LOW,2026-01-27 12:00:00,493,6.44
BUG-0107,PRJ-009,EMP-024,EMP-050,QA,MEDIUM,2026-02-09 10:00:00,1017,20.12
BUG-0108,PRJ-009,EMP-008,EMP-023,PRODUCTION,MEDIUM,2026-02-02 13:00:00,1894,32.03
BUG-0109,PRJ-005,EMP-033,EMP-003,UAT,MEDIUM,2026-01-20 08:00:00,2133,25.9
BUG-0110,PRJ-003,EMP-024,EMP-047,QA,MEDIUM,2026-02-16 17:00:00,1733,16.62
BUG-0111,PRJ-006,EMP-014,EMP-050,QA,HIGH,2026-02-15 13:00:00,128,2.2
BUG-0112,PRJ-007,EMP-027,EMP-046,PRODUCTION,MEDIUM,2026-04-30 15:00:00,1955,32.56
BUG-0113,PRJ-008,EMP-026,EMP-046,QA,MEDIUM,2026-04-09 13:00:00,721,13.93
BUG-0114,PRJ-004,EMP-039,EMP-003,UAT,MEDIUM,2026-01-13 11:00:00,839,15.31
BUG-0115,PRJ-005,EMP-008,EMP-028,QA,HIGH,2026-02-12 14:00:00,439,7.51
BUG-0116,PRJ-004,EMP-011,EMP-003,QA,MEDIUM,2026-02-06 08:00:00,2505,22.35
BUG-0117,PRJ-003,EMP-048,EMP-046,QA,MEDIUM,2026-04-21 16:00:00,539,4.5
BUG-0118,PRJ-007,EMP-026,EMP-006,PRODUCTION,HIGH,2026-02-19 09:00:00,548,6.83
BUG-0119,PRJ-007,EMP-039,EMP-023,QA,MEDIUM,2026-01-24 15:00:00,2836,40.21
BUG-0120,PRJ-004,EMP-049,EMP-006,QA,LOW,2026-04-02 09:00:00,2319,36.71
BUG-0121,PRJ-010,EMP-048,EMP-003,QA,HIGH,2026-04-14 11:00:00,441,5.14
BUG-0122,PRJ-006,EMP-004,EMP-023,QA,MEDIUM,2026-01-02 17:00:00,2714,45.97
BUG-0123,PRJ-008,EMP-008,EMP-046,QA,HIGH,2026-01-26 08:00:00,681,9.19
BUG-0124,PRJ-010,EMP-024,EMP-003,PRODUCTION,CRITICAL,2026-03-09 10:00:00,147,2.51
BUG-0125,PRJ-008,EMP-024,EMP-047,QA,LOW,2026-01-17 10:00:00,2847,53.36
BUG-0126,PRJ-004,EMP-048,EMP-003,QA,LOW,2026-04-20 14:00:00,1968,29.1
BUG-0127,PRJ-009,EMP-004,EMP-003,UAT,LOW,2026-02-06 11:00:00,1115,18.68
BUG-0128,PRJ-008,EMP-041,EMP-047,PRODUCTION,MEDIUM,2026-01-16 15:00:00,892,13.48
BUG-0129,PRJ-010,EMP-027,EMP-038,QA,MEDIUM,2026-02-08 13:00:00,504,8.85
BUG-0130,PRJ-006,EMP-026,EMP-047,PRODUCTION,MEDIUM,2026-02-09 15:00:00,859,14.52
BUG-0131,PRJ-008,EMP-026,EMP-046,QA,LOW,2026-01-23 08:00:00,2474,39.67
BUG-0132,PRJ-010,EMP-033,EMP-028,UAT,MEDIUM,2026-01-20 16:00:00,1072,19.99
BUG-0133,PRJ-001,EMP-048,EMP-050,QA,HIGH,2026-03-13 17:00:00,438,5.92
BUG-0134,PRJ-004,EMP-004,EMP-028,QA,MEDIUM,2026-01-26 13:00:00,2503,46.58
BUG-0135,PRJ-009,EMP-024,EMP-046,QA,CRITICAL,2026-04-02 09:00:00,115,1.86
BUG-0136,PRJ-010,EMP-033,EMP-006,QA,MEDIUM,2026-01-22 16:00:00,1301,11.99
BUG-0137,PRJ-010,EMP-048,EMP-038,QA,HIGH,2026-01-12 16:00:00,622,9.5
BUG-0138,PRJ-006,EMP-039,EMP-050,PRODUCTION,CRITICAL,2026-04-11 16:00:00,68,0.99
BUG-0139,PRJ-010,EMP-048,EMP-023,QA,MEDIUM,2026-01-28 16:00:00,2012,22.51
BUG-0140,PRJ-002,EMP-039,EMP-003,QA,HIGH,2026-03-04 17:00:00,572,11.34
BUG-0141,PRJ-007,EMP-048,EMP-023,QA,LOW,2026-03-07 09:00:00,682,11.19
BUG-0142,PRJ-009,EMP-004,EMP-028,UAT,HIGH,2026-04-17 11:00:00,450,5.92
BUG-0143,PRJ-010,EMP-039,EMP-028,QA,CRITICAL,2026-04-19 11:00:00,239,3.5
BUG-0144,PRJ-009,EMP-049,EMP-050,PRODUCTION,LOW,2026-04-17 15:00:00,2281,39.41
BUG-0145,PRJ-009,EMP-008,EMP-006,QA,MEDIUM,2026-04-30 15:00:00,2335,40.87
BUG-0146,PRJ-001,EMP-004,EMP-028,PRODUCTION,MEDIUM,2026-02-28 13:00:00,1043,8.85
BUG-0147,PRJ-005,EMP-048,EMP-006,QA,HIGH,2026-04-21 09:00:00,395,3.4
BUG-0148,PRJ-007,EMP-026,EMP-023,UAT,MEDIUM,2026-01-03 10:00:00,1798,28.91
BUG-0149,PRJ-002,EMP-014,EMP-028,QA,HIGH,2026-03-29 09:00:00,430,6.31
BUG-0150,PRJ-008,EMP-049,EMP-046,PRODUCTION,CRITICAL,2026-01-13 13:00:00,67,0.79
BUG-0151,PRJ-009,EMP-014,EMP-050,QA,MEDIUM,2026-02-06 10:00:00,1607,22.9
BUG-0152,PRJ-010,EMP-041,EMP-038,QA,LOW,2026-01-02 14:00:00,1191,20.71
BUG-0153,PRJ-003,EMP-027,EMP-046,UAT,LOW,2026-02-17 17:00:00,1638,23.05
BUG-0154,PRJ-007,EMP-004,EMP-038,PRODUCTION,CRITICAL,2026-03-27 16:00:00,114,1.14
BUG-0155,PRJ-004,EMP-004,EMP-038,PRODUCTION,HIGH,2026-04-06 11:00:00,363,5.65
BUG-0156,PRJ-006,EMP-014,EMP-046,UAT,LOW,2026-03-01 11:00:00,1212,12.62
BUG-0157,PRJ-001,EMP-016,EMP-023,QA,CRITICAL,2026-04-11 08:00:00,175,2.37
BUG-0158,PRJ-001,EMP-016,EMP-003,QA,MEDIUM,2026-03-22 09:00:00,1412,27.15
BUG-0159,PRJ-005,EMP-026,EMP-003,QA,CRITICAL,2026-01-04 14:00:00,150,1.71
BUG-0160,PRJ-006,EMP-041,EMP-003,UAT,MEDIUM,2026-02-01 17:00:00,1796,19.47
BUG-0161,PRJ-010,EMP-026,EMP-050,QA,LOW,2026-04-22 17:00:00,2269,40.23
BUG-0162,PRJ-006,EMP-014,EMP-006,UAT,LOW,2026-02-04 12:00:00,2426,44.18
BUG-0163,PRJ-003,EMP-024,EMP-023,QA,MEDIUM,2026-02-11 09:00:00,1947,32.68
BUG-0164,PRJ-007,EMP-027,EMP-023,QA,HIGH,2026-01-24 10:00:00,383,3.87
BUG-0165,PRJ-006,EMP-049,EMP-006,QA,MEDIUM,2026-02-27 15:00:00,547,8.94
BUG-0166,PRJ-007,EMP-011,EMP-023,QA,MEDIUM,2026-02-13 08:00:00,1965,26.68
BUG-0167,PRJ-001,EMP-016,EMP-006,PRODUCTION,CRITICAL,2026-04-03 13:00:00,229,3.45
BUG-0168,PRJ-004,EMP-027,EMP-003,QA,HIGH,2026-03-28 14:00:00,456,8.6
BUG-0169,PRJ-003,EMP-024,EMP-003,QA,HIGH,2026-03-30 11:00:00,598,10.99
BUG-0170,PRJ-009,EMP-026,EMP-006,UAT,MEDIUM,2026-03-22 13:00:00,1401,24.6
BUG-0171,PRJ-003,EMP-024,EMP-046,UAT,MEDIUM,2026-04-17 15:00:00,490,7.42
BUG-0172,PRJ-001,EMP-014,EMP-046,QA,MEDIUM,2026-02-23 12:00:00,2072,38.88
BUG-0173,PRJ-004,EMP-014,EMP-003,UAT,MEDIUM,2026-01-28 17:00:00,662,5.98
BUG-0174,PRJ-006,EMP-024,EMP-003,QA,MEDIUM,2026-03-29 10:00:00,2788,46.35
BUG-0175,PRJ-009,EMP-027,EMP-050,UAT,MEDIUM,2026-03-23 14:00:00,2375,33.47
BUG-0176,PRJ-009,EMP-016,EMP-038,QA,LOW,2026-04-30 13:00:00,2850,55.46
BUG-0177,PRJ-007,EMP-039,EMP-006,QA,HIGH,2026-03-28 13:00:00,579,5.9
BUG-0178,PRJ-009,EMP-027,EMP-028,QA,CRITICAL,2026-03-25 15:00:00,238,2.7
BUG-0179,PRJ-004,EMP-033,EMP-038,QA,HIGH,2026-01-25 10:00:00,200,3.13
BUG-0180,PRJ-010,EMP-026,EMP-028,PRODUCTION,HIGH,2026-01-01 15:00:00,686,6.17
BUG-0181,PRJ-006,EMP-033,EMP-023,QA,MEDIUM,2026-04-10 17:00:00,489,8.5
BUG-0182,PRJ-002,EMP-008,EMP-006,QA,HIGH,2026-01-31 10:00:00,379,4.22
BUG-0183,PRJ-007,EMP-016,EMP-047,QA,CRITICAL,2026-01-09 08:00:00,41,0.71
BUG-0184,PRJ-002,EMP-024,EMP-023,QA,LOW,2026-02-13 13:00:00,489,6.42
BUG-0185,PRJ-003,EMP-014,EMP-050,UAT,MEDIUM,2026-02-07 11:00:00,1871,35.95
BUG-0186,PRJ-005,EMP-049,EMP-047,QA,HIGH,2026-03-04 12:00:00,416,6.48
BUG-0187,PRJ-009,EMP-004,EMP-050,UAT,CRITICAL,2026-01-19 17:00:00,112,1.37
BUG-0188,PRJ-005,EMP-024,EMP-028,QA,MEDIUM,2026-01-06 10:00:00,1193,10.57
BUG-0189,PRJ-004,EMP-008,EMP-028,QA,MEDIUM,2026-04-10 14:00:00,2672,50.69
BUG-0190,PRJ-010,EMP-026,EMP-006,QA,MEDIUM,2026-02-13 16:00:00,1327,15.7
BUG-0191,PRJ-001,EMP-049,EMP-006,QA,LOW,2026-03-26 08:00:00,706,8.89
BUG-0192,PRJ-003,EMP-041,EMP-006,QA,HIGH,2026-01-18 15:00:00,316,4.06
BUG-0193,PRJ-007,EMP-041,EMP-028,UAT,HIGH,2026-04-11 14:00:00,690,7.23
BUG-0194,PRJ-004,EMP-049,EMP-003,PRODUCTION,LOW,2026-04-01 12:00:00,2611,41.53
BUG-0195,PRJ-005,EMP-008,EMP-050,QA,MEDIUM,2026-04-21 12:00:00,1286,19.05
BUG-0196,PRJ-006,EMP-048,EMP-047,PRODUCTION,MEDIUM,2026-03-15 17:00:00,1583,23.82
BUG-0197,PRJ-008,EMP-026,EMP-023,PRODUCTION,MEDIUM,2026-02-12 08:00:00,2318,39.25
BUG-0198,PRJ-007,EMP-033,EMP-003,QA,MEDIUM,2026-01-18 12:00:00,1417,17.11
BUG-0199,PRJ-010,EMP-039,EMP-006,QA,MEDIUM,2026-01-28 10:00:00,1817,25.26
BUG-0200,PRJ-001,EMP-024,EMP-028,PRODUCTION,MEDIUM,2026-01-24 15:00:00,1921,34.72
BUG-0201,PRJ-007,EMP-049,EMP-047,UAT,CRITICAL,2026-01-16 15:00:00,100,0.94
BUG-0202,PRJ-002,EMP-026,EMP-050,QA,LOW,2026-04-20 09:00:00,750,13.24
BUG-0203,PRJ-002,EMP-024,EMP-006,QA,HIGH,2026-02-05 12:00:00,370,3.68
BUG-0204,PRJ-010,EMP-033,EMP-028,QA,MEDIUM,2026-03-04 08:00:00,2842,36.84
BUG-0205,PRJ-010,EMP-008,EMP-028,UAT,MEDIUM,2026-01-01 13:00:00,2586,46.64
BUG-0206,PRJ-007,EMP-048,EMP-047,PRODUCTION,LOW,2026-04-17 09:00:00,2656,36.6
BUG-0207,PRJ-002,EMP-014,EMP-050,QA,CRITICAL,2026-02-08 10:00:00,48,0.92
BUG-0208,PRJ-010,EMP-016,EMP-028,QA,HIGH,2026-04-27 14:00:00,160,2.57
BUG-0209,PRJ-010,EMP-049,EMP-028,UAT,HIGH,2026-01-24 12:00:00,246,4.01
BUG-0210,PRJ-009,EMP-039,EMP-006,UAT,MEDIUM,2026-02-13 17:00:00,2403,30.04
BUG-0211,PRJ-009,EMP-027,EMP-047,QA,MEDIUM,2026-01-13 13:00:00,2415,31.38
BUG-0212,PRJ-007,EMP-014,EMP-003,UAT,HIGH,2026-03-05 14:00:00,183,2.8
BUG-0213,PRJ-006,EMP-016,EMP-023,QA,LOW,2026-02-23 11:00:00,1589,20.14
BUG-0214,PRJ-009,EMP-016,EMP-003,QA,LOW,2026-03-28 09:00:00,2102,27.72
BUG-0215,PRJ-005,EMP-048,EMP-003,QA,MEDIUM,2026-03-08 17:00:00,797,14.51
BUG-0216,PRJ-009,EMP-004,EMP-003,QA,HIGH,2026-02-13 11:00:00,688,8.97
BUG-0217,PRJ-009,EMP-033,EMP-028,QA,MEDIUM,2026-03-25 09:00:00,1174,14.38
BUG-0218,PRJ-009,EMP-026,EMP-006,QA,HIGH,2026-03-18 14:00:00,391,6.46
BUG-0219,PRJ-010,EMP-011,EMP-038,QA,MEDIUM,2026-02-11 09:00:00,2308,31.83
BUG-0220,PRJ-010,EMP-033,EMP-038,QA,LOW,2026-01-05 14:00:00,2447,23.58
BUG-0221,PRJ-008,EMP-016,EMP-047,UAT,MEDIUM,2026-03-02 11:00:00,1939,37.72
BUG-0222,PRJ-002,EMP-048,EMP-046,QA,HIGH,2026-03-02 09:00:00,252,2.43
BUG-0223,PRJ-006,EMP-033,EMP-028,QA,HIGH,2026-03-04 14:00:00,344,5.07
BUG-0224,PRJ-007,EMP-049,EMP-038,UAT,LOW,2026-04-09 15:00:00,2857,44.73
BUG-0225,PRJ-004,EMP-011,EMP-003,QA,MEDIUM,2026-01-29 13:00:00,1014,15.84
BUG-0226,PRJ-002,EMP-024,EMP-023,UAT,CRITICAL,2026-02-17 09:00:00,39,0.5
BUG-0227,PRJ-001,EMP-016,EMP-047,QA,MEDIUM,2026-01-13 17:00:00,2054,19.84
BUG-0228,PRJ-006,EMP-039,EMP-046,UAT,CRITICAL,2026-03-03 15:00:00,49,0.66
BUG-0229,PRJ-003,EMP-011,EMP-006,QA,HIGH,2026-04-15 16:00:00,477,4.32
BUG-0230,PRJ-005,EMP-049,EMP-028,QA,HIGH,2026-03-07 17:00:00,611,6.21
BUG-0231,PRJ-002,EMP-014,EMP-003,UAT,LOW,2026-04-16 17:00:00,2318,30.93
BUG-0232,PRJ-001,EMP-004,EMP-003,PRODUCTION,HIGH,2026-01-15 14:00:00,371,4.38
BUG-0233,PRJ-006,EMP-027,EMP-028,UAT,HIGH,2026-04-29 13:00:00,506,8.56
BUG-0234,PRJ-009,EMP-004,EMP-006,PRODUCTION,HIGH,2026-01-16 17:00:00,468,7.86
BUG-0235,PRJ-003,EMP-026,EMP-006,QA,MEDIUM,2026-03-04 14:00:00,1645,29.97
BUG-0236,PRJ-007,EMP-024,EMP-028,QA,MEDIUM,2026-02-08 16:00:00,538,5.2
BUG-0237,PRJ-010,EMP-011,EMP-003,QA,MEDIUM,2026-03-12 11:00:00,1627,14.97
BUG-0238,PRJ-004,EMP-004,EMP-046,QA,MEDIUM,2026-03-02 15:00:00,2845,53.69
BUG-0239,PRJ-006,EMP-011,EMP-046,QA,HIGH,2026-01-20 09:00:00,398,6.86
BUG-0240,PRJ-002,EMP-041,EMP-023,QA,CRITICAL,2026-01-14 17:00:00,94,1.66
BUG-0241,PRJ-008,EMP-048,EMP-028,PRODUCTION,MEDIUM,2026-04-13 11:00:00,2555,30.32
BUG-0242,PRJ-002,EMP-048,EMP-047,QA,MEDIUM,2026-01-01 12:00:00,1327,15.12
BUG-0243,PRJ-003,EMP-008,EMP-023,PRODUCTION,HIGH,2026-04-21 09:00:00,672,9.11
BUG-0244,PRJ-009,EMP-008,EMP-046,UAT,MEDIUM,2026-04-29 08:00:00,955,13.51
BUG-0245,PRJ-006,EMP-049,EMP-046,QA,HIGH,2026-04-07 16:00:00,597,5.33
BUG-0246,PRJ-005,EMP-033,EMP-038,PRODUCTION,CRITICAL,2026-04-20 10:00:00,183,2.37
BUG-0247,PRJ-001,EMP-027,EMP-023,QA,HIGH,2026-03-21 08:00:00,501,9.46
BUG-0248,PRJ-010,EMP-039,EMP-028,PRODUCTION,MEDIUM,2026-04-22 14:00:00,2114,24.9
BUG-0249,PRJ-006,EMP-033,EMP-050,QA,MEDIUM,2026-04-15 11:00:00,1471,16.17
